Date,region,total_bags,small_bags,small_bags_percent
2015-03-29,Albany,7684.08,7208.49,93.8107099353469
2015-03-22,Albany,9749.66,9252.6,94.9017709335505
2015-03-15,Albany,10370.69,9989.59,96.3252204048139
2015-03-08,Albany,9181.99,8827.55,96.1398346110157
2015-03-01,Albany,9151.45,8986.06,98.1927454119292
2015-02-22,Albany,9379.54,9000.16,95.9552387430514
2015-02-15,Albany,10313.03,9979.87,96.7695236026658
2015-02-08,Albany,10621.54,10113.1,95.2131235206947
2015-02-01,Albany,9323.18,9170.82,98.3657936455158
2015-01-25,Albany,10845.82,10103.35,93.1543212039293
2015-01-18,Albany,11921.05,11651.09,97.7354343786831
2015-01-11,Albany,8424.77,8036.04,95.3858681008502
2015-01-04,Albany,9716.46,9186.93,94.5501756812667
2015-12-27,Atlanta,66354.31,48605.95,73.2521368996226
2015-12-20,Atlanta,58797.87,46930.26,79.8162586501858
2015-12-13,Atlanta,61545.31,38903.57,63.2112666261653
2015-12-06,Atlanta,50690.04,37032.67,73.0570936617923
2015-11-29,Atlanta,53794.68,33031.72,61.4033209231842
2015-11-22,Atlanta,56382.08,36992.3,65.6100307047913
2015-11-15,Atlanta,47046.48,33656.42,71.5386570897546
2015-11-08,Atlanta,48628.65,35662.93,73.3372816230761
2015-11-01,Atlanta,65398.38,39460.77,60.3390634446908
2015-10-25,Atlanta,56751.46,31826.88,56.0811651365445
2015-10-18,Atlanta,60339.19,36884.35,61.128347927773
2015-10-11,Atlanta,86294.11,41159.96,47.6972993869454
2015-10-04,Atlanta,59460.41,14875.64,25.0177218757826
2015-09-27,Atlanta,45662.3,20533.87,44.9689787855627
2015-09-20,Atlanta,86201.96,33698.43,39.0924173881893
2015-09-13,Atlanta,75983.02,46290.32,60.9219270305392
2015-09-06,Atlanta,94436.19,49833.55,52.7695473525563
2015-08-30,Atlanta,61281.24,47138.07,76.9208814965232
2015-08-23,Atlanta,57418.09,45534.11,79.3027249774418
2015-08-16,Atlanta,59216.9,45068.25,76.1070741629501
2015-08-09,Atlanta,67472.2,45820.45,67.910117055617
2015-08-02,Atlanta,53888.32,42126.47,78.1736561837519
2015-07-26,Atlanta,57210.66,45114.22,78.8563180358346
2015-07-19,Atlanta,61292.37,45099.87,73.5815404103317
2015-07-12,Atlanta,58303.85,46023.59,78.9374801149495
2015-07-05,Atlanta,70560.49,50684.74,71.8316156818072
2015-06-28,Atlanta,65342.19,52099.76,79.733721811283
2015-06-21,Atlanta,74542.11,55484.76,74.4341151598741
2015-06-14,Atlanta,61261.44,48612.13,79.3519218614515
2015-06-07,Atlanta,72290.28,50954.84,70.4864333074931
2015-05-31,Atlanta,51735.02,40505.16,78.2935040906527
2015-05-24,Atlanta,56539.87,33867.0,59.8993241406462
2015-05-17,Atlanta,45392.29,33710.2,74.2641536701497
2015-05-10,Atlanta,46668.26,34108.44,73.0870188860695
2015-05-03,Atlanta,66181.63,32520.82,49.1387413697728
2015-04-26,Atlanta,41511.84,31315.29,75.437007851254
2015-04-19,Atlanta,43342.6,29661.72,68.4354884109398
2015-04-12,Atlanta,50884.32,25833.07,50.7682327286677
2015-04-05,Atlanta,45037.12,28612.48,63.5308829694261
2015-03-29,Atlanta,43780.25,29313.92,66.9569497661617
2015-03-22,Atlanta,62275.1,40495.12,65.0261822140792
2015-03-15,Atlanta,46575.23,34911.7,74.9576545301011
2015-03-08,Atlanta,43241.42,33847.33,78.2752509052663
2015-03-01,Atlanta,49456.96,32180.9,65.0684959204933
2015-02-22,Atlanta,43430.04,33423.74,76.959956748831
2015-02-15,Atlanta,44885.92,26727.66,59.5457551053872
2015-02-08,Atlanta,38940.18,18044.41,46.3387945304824
2015-02-01,Atlanta,51694.49,10553.73,20.4155800743948
2015-01-25,Atlanta,36612.16,13176.39,35.9891085366173
2015-01-18,Atlanta,40040.48,16782.71,41.9143576700379
2015-01-11,Atlanta,47038.08,21309.61,45.3028907642489
2015-01-04,Atlanta,46815.79,16707.15,35.6869979124565
2015-12-27,BaltimoreWashington,144911.1,142543.88,98.3664329371594
2015-12-20,BaltimoreWashington,144238.07,141751.91,98.2763496488826
2015-12-13,BaltimoreWashington,150966.28,149070.4,98.7441698901238
2015-12-06,BaltimoreWashington,118664.97,117112.77,98.6919475899248
2015-11-29,BaltimoreWashington,105468.28,103615.95,98.2437089141873
2015-11-22,BaltimoreWashington,121670.73,119007.61,97.8112073462533
2015-11-15,BaltimoreWashington,129760.36,125297.67,96.5608218102971
2015-11-08,BaltimoreWashington,144840.21,138777.63,95.814297700894
2015-11-01,BaltimoreWashington,157925.7,152716.4,96.7014235175149
2015-10-25,BaltimoreWashington,156128.69,149987.55,96.06661658405
2015-10-18,BaltimoreWashington,151925.64,146421.02,96.3767669499368
2015-10-11,BaltimoreWashington,168354.42,163669.01,97.2169367457059
2015-10-04,BaltimoreWashington,172234.02,167494.61,97.2482730183038
2015-09-27,BaltimoreWashington,151893.12,146792.81,96.6421718113368
2015-09-20,BaltimoreWashington,174029.62,168889.78,97.0465717272726
2015-09-13,BaltimoreWashington,151499.56,145686.02,96.1626687232623
2015-09-06,BaltimoreWashington,168970.84,165696.58,98.0622336966544
2015-08-30,BaltimoreWashington,185304.24,181968.79,98.2000142036685
2015-08-23,BaltimoreWashington,178376.77,175047.15,98.1333780177766
2015-08-16,BaltimoreWashington,155975.35,153156.63,98.1928426510984
2015-08-09,BaltimoreWashington,164862.89,161564.81,97.9995012825506
2015-08-02,BaltimoreWashington,166728.92,163667.68,98.1639418044572
2015-07-26,BaltimoreWashington,178660.25,174774.8,97.8252297307319
2015-07-19,BaltimoreWashington,200713.09,196837.6,98.0691393869727
2015-07-12,BaltimoreWashington,193887.17,189236.32,97.6012595366676
2015-07-05,BaltimoreWashington,206108.89,200097.99,97.0836289497265
2015-06-28,BaltimoreWashington,211564.63,207378.09,98.0211531577845
2015-06-21,BaltimoreWashington,224622.73,220904.35,98.3446109839374
2015-06-14,BaltimoreWashington,249197.18,244982.26,98.3086004424288
2015-06-07,BaltimoreWashington,225052.84,221165.85,98.2728544994145
2015-05-31,BaltimoreWashington,217785.55,211787.29,97.2457952329712
2015-05-24,BaltimoreWashington,234503.17,228842.95,97.5862927567248
2015-05-17,BaltimoreWashington,227331.17,222163.1,97.7266337915738
2015-05-10,BaltimoreWashington,224519.06,215572.03,96.0150242923697
2015-05-03,BaltimoreWashington,209686.17,201874.28,96.2744848646909
2015-04-26,BaltimoreWashington,218351.8,212064.73,97.1206694884127
2015-04-19,BaltimoreWashington,225627.29,219885.88,97.4553565749959
2015-04-12,BaltimoreWashington,201392.01,196076.34,97.3605358027858
2015-04-05,BaltimoreWashington,191339.73,184109.06,96.221030519903
2015-03-29,BaltimoreWashington,163768.62,158964.08,97.0662633659611
2015-03-22,BaltimoreWashington,176385.62,171699.95,97.3435079344904
2015-03-15,BaltimoreWashington,197864.76,193130.9,97.6075274849346
2015-03-08,BaltimoreWashington,192522.26,188374.49,97.8455634169264
2015-03-01,BaltimoreWashington,171961.07,168224.2,97.8269093115087
2015-02-22,BaltimoreWashington,190762.55,186976.97,98.015553891474
2015-02-15,BaltimoreWashington,179990.18,174864.87,97.1524502058946
2015-02-08,BaltimoreWashington,180932.96,175771.39,97.1472472456097
2015-02-01,BaltimoreWashington,164589.36,159916.87,97.1611226873961
2015-01-25,BaltimoreWashington,217350.64,209761.81,96.5084850911872
2015-01-18,BaltimoreWashington,173858.5,169390.88,97.4303125817835
2015-01-11,BaltimoreWashington,155406.52,151330.87,97.3774266356392
2015-01-04,BaltimoreWashington,141136.68,137146.07,97.1725209917082
2015-12-27,Boise,23561.1,23520.19,99.8263663411301
2015-12-20,Boise,21935.9,21900.35,99.8379368979618
2015-12-13,Boise,21868.27,21842.87,99.8838499799024
2015-12-06,Boise,43091.6,42734.53,99.1713698261378
2015-11-29,Boise,16057.99,15860.63,98.7709545217054
2015-11-22,Boise,17547.95,17530.67,99.9015269589895
2015-11-15,Boise,25635.41,25200.25,98.3025042314517
2015-11-08,Boise,12999.91,12777.83,98.2916804808649
2015-11-01,Boise,12362.73,12331.82,99.7499743179702
2015-10-25,Boise,13711.48,13660.98,99.6316954843678
2015-10-18,Boise,8921.26,8918.0,99.9634580765497
2015-10-11,Boise,13769.64,13543.47,98.3574733979973
2015-10-04,Boise,5968.42,5462.15,91.5175205498273
2015-09-27,Boise,7763.11,7596.64,97.8556274482778
2015-09-20,Boise,10893.8,10601.02,97.3124162367585
2015-09-13,Boise,7482.65,7482.65,100.0
2015-09-06,Boise,6936.04,6934.43,99.9767879077976
2015-08-30,Boise,5440.56,5440.56,100.0
2015-08-23,Boise,7420.09,7420.09,100.0
2015-08-16,Boise,6096.91,6090.51,99.895028793274
2015-08-09,Boise,7582.25,7568.92,99.824194665172
2015-08-02,Boise,6036.39,5987.5,99.1900788385111
2015-07-26,Boise,6511.85,6358.04,97.6379984182682
2015-07-19,Boise,7170.97,6354.45,88.6135348495392
2015-07-12,Boise,9571.92,8335.04,87.0780365903601
2015-07-05,Boise,6637.61,6557.06,98.7864607893504
2015-06-28,Boise,5621.07,5619.44,99.9710019622598
2015-06-21,Boise,7286.27,7021.56,96.3670025952922
2015-06-14,Boise,7800.04,7800.04,100.0
2015-06-07,Boise,5612.56,5603.8,99.8439214903716
2015-05-31,Boise,7866.15,7860.31,99.9257578357901
2015-05-24,Boise,7507.26,7469.51,99.497153422154
2015-05-17,Boise,6354.01,6345.82,99.8711050187205
2015-05-10,Boise,9495.53,9453.06,99.5527369193715
2015-05-03,Boise,6354.81,6349.93,99.9232077748981
2015-04-26,Boise,7179.45,7174.6,99.9324460787386
2015-04-19,Boise,7960.22,7953.8,99.9193489627171
2015-04-12,Boise,5747.78,5747.78,100.0
2015-04-05,Boise,6513.78,6510.61,99.9513339412753
2015-03-29,Boise,4789.54,4789.54,100.0
2015-03-22,Boise,3311.77,3311.77,100.0
2015-03-15,Boise,4445.9,4445.9,100.0
2015-03-08,Boise,4860.43,4860.43,100.0
2015-03-01,Boise,7237.98,6478.75,89.5104711535539
2015-02-22,Boise,7467.27,7235.2,96.8921707665586
2015-02-15,Boise,5340.86,3647.52,68.2946192186277
2015-02-08,Boise,3047.17,1373.42,45.0719848252641
2015-02-01,Boise,6644.84,4867.26,73.2487162971569
2015-01-25,Boise,4530.04,2009.53,44.3600939506053
2015-01-18,Boise,3915.94,1119.18,28.5801110333662
2015-01-11,Boise,4923.75,3295.11,66.9227722772277
2015-01-04,Boise,7755.62,6064.3,78.1923302069983
2015-12-27,Boston,86012.86,85913.6,99.884598651876
2015-12-20,Boston,88901.8,88768.47,99.8500255337912
2015-12-13,Boston,89722.96,89523.38,99.7775597238433
2015-12-06,Boston,75889.78,75666.22,99.7054148793158
2015-11-29,Boston,74125.62,73864.52,99.6477601131701
2015-11-22,Boston,78648.17,78161.82,99.3816130750404
2015-11-15,Boston,87352.15,85604.19,97.9989502261822
2015-11-08,Boston,93342.82,88265.25,94.560299335289
2015-11-01,Boston,98507.92,93443.08,94.8584438692848
2015-10-25,Boston,99326.99,94581.94,95.2227989592758
2015-10-18,Boston,91049.58,86046.25,94.5048291271635
2015-10-11,Boston,101909.89,97513.23,95.6857376649116
2015-10-04,Boston,103038.91,97207.43,94.3405069017132
2015-09-27,Boston,84726.9,82123.56,96.9273748951042
2015-09-20,Boston,95171.55,91612.66,96.2605526546536
2015-09-13,Boston,89114.66,84843.55,95.2071746668842
2015-09-06,Boston,95172.85,94558.41,99.3543957126428
2015-08-30,Boston,83430.9,83242.01,99.7735970725475
2015-08-23,Boston,95826.5,95585.38,99.7483785800379
2015-08-16,Boston,96109.23,95887.01,99.7687839138863
2015-08-09,Boston,94518.79,94287.69,99.7554983511744
2015-08-02,Boston,97508.59,97214.15,99.6980368601371
2015-07-26,Boston,100694.94,100466.86,99.7734940802388
2015-07-19,Boston,109746.47,109519.0,99.7927313744123
2015-07-12,Boston,148182.59,146946.54,99.1658601729124
2015-07-05,Boston,148861.42,145982.99,98.0663693789835
2015-06-28,Boston,143455.74,142574.63,99.3857966227075
2015-06-21,Boston,126114.48,125821.15,99.7674097375654
2015-06-14,Boston,151442.1,151258.77,99.8789438339801
2015-06-07,Boston,137408.28,137224.94,99.8665728149716
2015-05-31,Boston,142818.64,142515.32,99.7876187590079
2015-05-24,Boston,138157.74,137769.31,99.7188503517791
2015-05-17,Boston,149526.12,147667.72,98.7571402240625
2015-05-10,Boston,143997.65,141309.43,98.1331500896022
2015-05-03,Boston,118714.26,115148.87,96.9966624060159
2015-04-26,Boston,109400.12,106866.42,97.6840061967025
2015-04-19,Boston,115562.72,114562.17,99.1341931031045
2015-04-12,Boston,110638.95,108644.33,98.1971810108466
2015-04-05,Boston,115635.81,113541.34,98.1887358250009
2015-03-29,Boston,110561.28,108838.11,98.4414344696443
2015-03-22,Boston,102664.18,102204.17,99.5519274590222
2015-03-15,Boston,102556.32,101931.87,99.3911150478098
2015-03-08,Boston,114386.82,113811.26,99.4968301417943
2015-03-01,Boston,97862.93,97423.17,99.5506367937277
2015-02-22,Boston,100715.97,100498.19,99.7837681551397
2015-02-15,Boston,114839.16,114283.61,99.5162364475672
2015-02-08,Boston,106216.72,105403.38,99.2342636827799
2015-02-01,Boston,110214.39,109900.93,99.7155906774061
2015-01-25,Boston,116472.16,115538.05,99.1979971866238
2015-01-18,Boston,109036.52,108668.74,99.6627001668799
2015-01-11,Boston,111524.61,111192.88,99.7025499573592
2015-01-04,Boston,87663.13,87406.84,99.7076421980369
2015-12-27,BuffaloRochester,55236.68,55236.68,100.0
2015-12-20,BuffaloRochester,51165.21,51165.21,100.0
2015-12-13,BuffaloRochester,56202.44,56202.44,100.0
2015-12-06,BuffaloRochester,48355.65,48355.65,100.0
2015-11-29,BuffaloRochester,42662.25,42662.25,100.0
2015-11-22,BuffaloRochester,49642.35,49642.35,100.0
2015-11-15,BuffaloRochester,56335.34,55593.12,98.682496635327
2015-11-08,BuffaloRochester,60187.87,58885.65,97.8364079007946
2015-11-01,BuffaloRochester,54298.62,52956.4,97.5280771408187
2015-10-25,BuffaloRochester,61283.43,59381.21,96.8960288286736
2015-10-18,BuffaloRochester,63787.47,62627.47,98.1814610298857
2015-10-11,BuffaloRochester,56025.17,54829.61,97.8660305716163
2015-10-04,BuffaloRochester,57425.67,56141.23,97.7632999318946
2015-09-27,BuffaloRochester,28438.3,27767.19,97.6401191351101
2015-09-20,BuffaloRochester,19258.95,18437.84,95.736475768409
2015-09-13,BuffaloRochester,22867.43,22421.87,98.0515519234125
2015-09-06,BuffaloRochester,25106.09,25092.76,99.9469053126154
2015-08-30,BuffaloRochester,20483.02,20483.02,100.0
2015-08-23,BuffaloRochester,23840.42,23840.42,100.0
2015-08-16,BuffaloRochester,22371.73,22371.73,100.0
2015-08-09,BuffaloRochester,24051.92,24051.92,100.0
2015-08-02,BuffaloRochester,31622.86,31622.86,100.0
2015-07-26,BuffaloRochester,43788.54,43788.54,100.0
2015-07-19,BuffaloRochester,70982.41,70982.41,100.0
2015-07-12,BuffaloRochester,74222.68,73796.01,99.4251487550705
2015-07-05,BuffaloRochester,75277.49,74370.82,98.795562923259
2015-06-28,BuffaloRochester,78811.96,78749.74,99.9210525915102
2015-06-21,BuffaloRochester,54130.44,54130.44,100.0
2015-06-14,BuffaloRochester,95473.84,95473.84,100.0
2015-06-07,BuffaloRochester,71990.67,71990.67,100.0
2015-05-31,BuffaloRochester,75473.15,75473.15,100.0
2015-05-24,BuffaloRochester,65785.96,65741.52,99.932447592161
2015-05-17,BuffaloRochester,74392.69,73414.91,98.6856504315142
2015-05-10,BuffaloRochester,95285.89,94832.56,99.5242422566447
2015-05-03,BuffaloRochester,85477.33,84332.05,98.6601359682152
2015-04-26,BuffaloRochester,86183.43,85503.15,99.2106603322704
2015-04-19,BuffaloRochester,85576.8,85056.94,99.3925222723916
2015-04-12,BuffaloRochester,71752.15,70938.4,98.8658876423912
2015-04-05,BuffaloRochester,72056.8,71408.88,99.1008204638563
2015-03-29,BuffaloRochester,70027.47,69919.0,99.845103642899
2015-03-22,BuffaloRochester,71344.15,71288.59,99.9221239583063
2015-03-15,BuffaloRochester,54157.6,54046.49,99.7948395054434
2015-03-08,BuffaloRochester,62576.63,62216.63,99.4247053572556
2015-03-01,BuffaloRochester,69541.74,69479.52,99.9105285545055
2015-02-22,BuffaloRochester,62312.01,61765.34,99.1226891894516
2015-02-15,BuffaloRochester,55357.07,55232.63,99.7752048654309
2015-02-08,BuffaloRochester,64513.81,63918.25,99.0768488173307
2015-02-01,BuffaloRochester,86919.58,86848.47,99.9181887441242
2015-01-25,BuffaloRochester,58649.74,57909.74,98.7382723265269
2015-01-18,BuffaloRochester,43421.89,43419.67,99.9948873713235
2015-01-11,BuffaloRochester,53514.26,53514.26,100.0
2015-01-04,BuffaloRochester,57182.88,57182.88,100.0
2015-12-27,California,1212707.01,1090140.07,89.8931119397092
2015-12-20,California,1209165.2,1061703.58,87.8046754901646
2015-12-13,California,1592438.33,1404012.0,88.167433146375
2015-12-06,California,1510267.34,1376640.91,91.1521340321112
2015-11-29,California,1081497.47,991568.84,91.6848044036571
2015-11-22,California,1069305.91,979612.52,91.6119990396387
2015-11-15,California,1152918.94,1091768.68,94.6960486224643
2015-11-08,California,855636.58,813006.4,95.0177235293049
2015-11-01,California,651915.96,626993.54,96.1770501829714
2015-10-25,California,618031.72,606392.86,98.1167859798523
2015-10-18,California,646990.52,633893.61,97.9757184077442
2015-10-11,California,555041.88,533478.03,96.1149147880517
2015-10-04,California,472090.38,442923.78,93.8218186102415
2015-09-27,California,515245.79,496867.66,96.433133398334
2015-09-20,California,552209.77,529779.37,95.938065347884
2015-09-13,California,584419.64,502056.88,85.9069144219725
2015-09-06,California,629688.27,591629.83,93.9559871426539
2015-08-30,California,649475.65,640600.64,98.6335115104007
2015-08-23,California,545248.81,535183.95,98.1540794192655
2015-08-16,California,577651.8,572197.46,99.055773737743
2015-08-09,California,580768.97,570728.54,98.2711834621605
2015-08-02,California,566776.08,559587.76,98.7317178240832
2015-07-26,California,598607.54,590750.1,98.6873803828131
2015-07-19,California,601233.56,577736.96,96.0919347216745
2015-07-12,California,622965.78,601358.64,96.5315687163426
2015-07-05,California,762371.42,731692.08,95.9758014013694
2015-06-28,California,654819.0,630301.44,96.255826419209
2015-06-21,California,662032.34,634244.68,95.8026733255962
2015-06-14,California,683201.17,657421.42,96.2266238507759
2015-06-07,California,678868.68,651944.51,96.0339649194009
2015-05-31,California,580523.01,554224.64,95.469883269571
2015-05-24,California,574119.93,546420.69,95.1753564799605
2015-05-17,California,547243.56,525804.7,96.0823915406149
2015-05-10,California,634790.89,613601.09,96.6619243700866
2015-05-03,California,631798.44,609388.58,96.4530048538898
2015-04-26,California,576599.58,548252.41,95.0837338452449
2015-04-19,California,598285.63,524767.96,87.7119445439464
2015-04-12,California,614443.51,532714.02,86.6986161185102
2015-04-05,California,601124.94,539258.29,89.7081877853879
2015-03-29,California,669440.18,605995.11,90.522667760994
2015-03-22,California,713009.12,681403.86,95.5673414107242
2015-03-15,California,662527.26,632903.55,95.5286805859128
2015-03-08,California,671312.66,642307.0,95.6792621786695
2015-03-01,California,552070.01,515386.4,93.3552612285532
2015-02-22,California,635318.73,596184.9,93.8402839154451
2015-02-15,California,594411.66,544990.68,91.6857317368236
2015-02-08,California,612526.38,553682.71,90.3932839594598
2015-02-01,California,600149.24,556205.2,92.6778146049139
2015-01-25,California,570609.87,521004.15,91.3065436460116
2015-01-18,California,559990.93,520299.26,92.9120869868374
2015-01-11,California,546047.53,510560.41,93.5010932106954
2015-01-04,California,528451.74,477193.38,90.3002760479131
2015-12-27,Charlotte,37630.04,35130.42,93.3573814962726
2015-12-20,Charlotte,35054.76,33273.25,94.9179227015104
2015-12-13,Charlotte,39031.59,35793.08,91.7028488975212
2015-12-06,Charlotte,30439.26,28181.92,92.5841166966608
2015-11-29,Charlotte,30791.41,27376.3,88.908887251347
2015-11-22,Charlotte,25723.09,22228.47,86.41446264815
2015-11-15,Charlotte,23632.22,21132.1,89.4207146006596
2015-11-08,Charlotte,29723.04,28076.04,94.4588440482535
2015-11-01,Charlotte,37373.73,32848.04,87.8907189622229
2015-10-25,Charlotte,34587.41,30219.23,87.3706068190709
2015-10-18,Charlotte,34534.79,31176.68,90.2761534093591
2015-10-11,Charlotte,39795.83,33103.01,83.1821072710382
2015-10-04,Charlotte,38050.77,30388.81,79.8638503241853
2015-09-27,Charlotte,31620.63,27053.27,85.5557590092291
2015-09-20,Charlotte,47353.43,38940.45,82.2336417868779
2015-09-13,Charlotte,62868.31,56910.24,90.5229359593092
2015-09-06,Charlotte,66041.86,59197.7,89.6366334927575
2015-08-30,Charlotte,65683.65,63371.06,96.4791999226596
2015-08-23,Charlotte,78864.57,76846.13,97.4406251121384
2015-08-16,Charlotte,62985.56,60769.22,96.481193467201
2015-08-09,Charlotte,61746.27,57783.2,93.5816851770965
2015-08-02,Charlotte,60699.91,58627.67,96.5860904900847
2015-07-26,Charlotte,64127.07,62053.65,96.7667008643932
2015-07-19,Charlotte,65605.47,62470.83,95.2219837766577
2015-07-12,Charlotte,67851.56,65681.23,96.8013557831242
2015-07-05,Charlotte,71243.15,67865.26,95.258645918941
2015-06-28,Charlotte,69753.61,67989.08,97.4703388111382
2015-06-21,Charlotte,73048.34,69426.0,95.0411741047093
2015-06-14,Charlotte,69824.22,67842.39,97.1616868759866
2015-06-07,Charlotte,72650.56,69123.57,95.1452679786639
2015-05-31,Charlotte,61153.08,58990.8,96.464151928243
2015-05-24,Charlotte,63676.95,59663.25,93.6967772482821
2015-05-17,Charlotte,59786.84,57583.99,96.315493509943
2015-05-10,Charlotte,63906.65,61759.57,96.6402870436801
2015-05-03,Charlotte,64214.79,58626.28,91.2971606696837
2015-04-26,Charlotte,59902.38,58701.2,97.9947708254664
2015-04-19,Charlotte,64618.32,63182.05,97.7773021644636
2015-04-12,Charlotte,65183.51,61787.29,94.789755875374
2015-04-05,Charlotte,58148.27,56450.56,97.0803774557695
2015-03-29,Charlotte,52860.94,51856.01,98.0989176507266
2015-03-22,Charlotte,59411.65,56443.98,95.0049022371875
2015-03-15,Charlotte,52470.09,51028.01,97.251615158274
2015-03-08,Charlotte,53912.29,52537.96,97.4508038890576
2015-03-01,Charlotte,55725.59,52873.84,94.882512684029
2015-02-22,Charlotte,46972.92,44919.71,95.6289496160767
2015-02-15,Charlotte,49548.44,40419.97,81.5766752696957
2015-02-08,Charlotte,51284.33,41921.3,81.7429027541161
2015-02-01,Charlotte,49070.43,33450.14,68.1676113292669
2015-01-25,Charlotte,54309.81,41623.4,76.6406658391919
2015-01-18,Charlotte,47055.08,33996.73,72.248798641932
2015-01-11,Charlotte,49435.79,38822.26,78.5306758524543
2015-01-04,Charlotte,50797.56,44329.03,87.2660615982342
2015-12-27,Chicago,94741.09,83066.75,87.6776380765727
2015-12-20,Chicago,94063.9,76241.25,81.0526142335157
2015-12-13,Chicago,82588.46,76829.42,93.0268223914092
2015-12-06,Chicago,62910.83,62473.12,99.3042374421065
2015-11-29,Chicago,62161.46,61862.57,99.5191715252505
2015-11-22,Chicago,73751.75,73457.31,99.6007687953167
2015-11-15,Chicago,74984.77,74723.66,99.6517826219911
2015-11-08,Chicago,66166.46,65842.08,99.5097516173602
2015-11-01,Chicago,68869.94,68447.93,99.3872362891561
2015-10-25,Chicago,66124.18,65795.24,99.5025420353039
2015-10-18,Chicago,63116.01,62076.66,98.3532704301175
2015-10-11,Chicago,68648.48,65144.93,94.8963910053071
2015-10-04,Chicago,69930.27,66015.29,94.4015946170378
2015-09-27,Chicago,70795.02,63370.36,89.5124544071038
2015-09-20,Chicago,74891.66,71195.89,95.0651781520132
2015-09-13,Chicago,82914.08,78368.45,94.5176621389274
2015-09-06,Chicago,86202.35,82905.34,96.1752666835649
2015-08-30,Chicago,73918.94,71627.03,96.899427940931
2015-08-23,Chicago,80272.17,77073.51,96.015231679921
2015-08-16,Chicago,83807.06,80018.54,95.4794739249891
2015-08-09,Chicago,81788.18,79510.48,97.2151232610874
2015-08-02,Chicago,82175.8,79197.97,96.3762689258882
2015-07-26,Chicago,88152.13,83728.75,94.9821065015672
2015-07-19,Chicago,98743.44,92362.71,93.5380719974917
2015-07-12,Chicago,94328.48,90428.86,95.8659145148952
2015-07-05,Chicago,129052.84,126579.11,98.0831650043502
2015-06-28,Chicago,129786.59,126835.7,97.7263521601115
2015-06-21,Chicago,111021.71,107242.86,96.596296346003
2015-06-14,Chicago,119024.61,116318.18,97.726159321169
2015-06-07,Chicago,105212.4,99942.37,94.9910561872935
2015-05-31,Chicago,101425.36,99122.66,97.7296605109413
2015-05-24,Chicago,104263.68,101615.53,97.4601414413917
2015-05-17,Chicago,85534.2,82689.93,96.674698541636
2015-05-10,Chicago,93316.19,88847.94,95.211709779407
2015-05-03,Chicago,93715.67,89297.42,95.2854736032939
2015-04-26,Chicago,92705.9,88341.96,95.2927052107795
2015-04-19,Chicago,92160.87,89276.61,96.8704071478492
2015-04-12,Chicago,94153.9,91664.47,97.3559990611117
2015-04-05,Chicago,91422.8,87170.22,95.3484469957166
2015-03-29,Chicago,101458.91,97284.77,95.8858812892825
2015-03-22,Chicago,90358.9,87394.44,96.7192385033461
2015-03-15,Chicago,97254.41,93312.94,95.9472583299822
2015-03-08,Chicago,109455.37,107215.4,97.9535311972359
2015-03-01,Chicago,90420.46,88092.48,97.4253835912801
2015-02-22,Chicago,94439.89,90447.44,95.772496134843
